,country_name,state_name,county_code_fips,county_name,Latitude,longitude,confirmed,deaths,recovered,active,refresh_date,combined_key,last_updated,incidence_rate,case_fatality_ratio
19,Bahrain,,,,26.0275,50.55,283344,1395,,,2022-01-02,Bahrain,2022-01-03 02:22:25+00:00,16651.788364129166,0.4923344062341182
20,Bangladesh,,,,23.685,90.3563,1586466,28077,,,2022-01-02,Bangladesh,2022-01-03 02:22:25+00:00,963.3079990347647,1.7697826489820772
21,Barbados,,,,13.1939,-59.5432,28960,262,,,2022-01-02,Barbados,2022-01-03 02:22:25+00:00,10077.565237967645,0.9046961325966851
22,Belarus,,,,53.7098,27.9534,701192,5609,,,2022-01-02,Belarus,2022-01-03 02:22:25+00:00,7420.5543445925905,0.7999235587399742
23,Belgium,Antwerp,,,51.2195,4.4024,303202,0,,,2022-01-02,"Antwerp, Belgium",2022-01-03 02:22:25+00:00,16318.852779299736,0.0
24,Belgium,Brussels,,,50.8503,4.3517,249566,0,,,2022-01-02,"Brussels, Belgium",2022-01-03 02:22:25+00:00,20650.17185997673,0.0
25,Belgium,East Flanders,,,51.0362,3.7373,260967,0,,,2022-01-02,"East Flanders, Belgium",2022-01-03 02:22:25+00:00,17224.816905424457,0.0
26,Belgium,Flemish Brabant,,,50.9167,4.5833,184728,0,,,2022-01-02,"Flemish Brabant, Belgium",2022-01-03 02:22:25+00:00,16116.910593931987,0.0
27,Belgium,Hainaut,,,50.5257,4.0621,252893,0,,,2022-01-02,"Hainaut, Belgium",2022-01-03 02:22:25+00:00,18813.069977779283,0.0
28,Belgium,Liege,,,50.4496,5.8492,226576,0,,,2022-01-02,"Liege, Belgium",2022-01-03 02:22:25+00:00,20467.717923887438,0.0
29,Belgium,Limburg,,,50.9739,5.3420000000000005,139220,0,,,2022-01-02,"Limburg, Belgium",2022-01-03 02:22:25+00:00,15928.187010324375,0.0
30,Belgium,Luxembourg,,,50.0547,5.4677,56074,0,,,2022-01-02,"Luxembourg, Belgium",2022-01-03 02:22:25+00:00,19700.110315558708,0.0
31,Belgium,Namur,,,50.331,4.8221,100334,0,,,2022-01-02,"Namur, Belgium",2022-01-03 02:22:25+00:00,20297.172912557533,0.0
32,Belgium,Unknown,,,,,34742,28331,,,2022-01-02,"Unknown, Belgium",2022-01-03 02:22:25+00:00,,81.54683092510506
33,Belgium,Walloon Brabant,,,50.4,4.35,81063,0,,,2022-01-02,"Walloon Brabant, Belgium",2022-01-03 02:22:25+00:00,20085.03489850074,0.0
34,Belgium,West Flanders,,,51.0536,3.1458,215978,0,,,2022-01-02,"West Flanders, Belgium",2022-01-03 02:22:25+00:00,18061.441918186712,0.0
35,Belize,,,,17.1899,-88.4976,32840,602,,,2022-01-02,Belize,2022-01-03 02:22:25+00:00,8259.12112287832,1.8331303288672351
36,Benin,,,,9.3077,2.3158,24935,161,,,2022-01-02,Benin,2022-01-03 02:22:25+00:00,205.6800524086136,0.64567876478845
37,Bhutan,,,,27.5142,90.4336,2660,3,,,2022-01-02,Bhutan,2022-01-03 02:22:25+00:00,344.7328450050025,0.11278195488721804
38,Bolivia,,,,-16.2902,-63.5887,611031,19722,,,2022-01-02,Bolivia,2022-01-03 02:22:25+00:00,5234.553944824433,3.227659480451892
39,Bosnia and Herzegovina,,,,43.9159,17.6791,291313,13442,,,2022-01-02,Bosnia and Herzegovina,2022-01-03 02:22:25+00:00,8879.287616034431,4.61428085941925
40,Botswana,,,,-22.3285,24.6849,219509,2444,,,2022-01-02,Botswana,2022-01-03 02:22:25+00:00,9334.353904215171,1.113393983845765
41,Brazil,Acre,,,-9.0238,-70.812,88386,1851,,,2022-01-02,"Acre, Brazil",2022-01-03 02:22:25+00:00,10021.827005391551,2.094223067001561
42,Brazil,Alagoas,,,-9.5713,-36.782,242104,6383,,,2022-01-02,"Alagoas, Brazil",2022-01-03 02:22:25+00:00,7254.363258111134,2.636470277236229
43,Brazil,Amapa,,,0.902,-52.003,127033,2022,,,2022-01-02,"Amapa, Brazil",2022-01-03 02:22:25+00:00,15020.497061122272,1.5917123896940164
44,Brazil,Amazonas,,,-3.4168,-65.8561,433882,13837,,,2022-01-02,"Amazonas, Brazil",2022-01-03 02:22:25+00:00,10468.617334809633,3.1891159347472353
45,Brazil,Bahia,,,-12.5797,-41.7007,1271155,27510,,,2022-01-02,"Bahia, Brazil",2022-01-03 02:22:25+00:00,8546.692194695053,2.1641735272252403
46,Brazil,Ceara,,,-5.4984,-39.3206,957203,24812,,,2022-01-02,"Ceara, Brazil",2022-01-03 02:22:25+00:00,10481.765486453358,2.592135628492598
47,Brazil,Distrito Federal,,,-15.7998,-47.8645,519811,11108,,,2022-01-02,"Distrito Federal, Brazil",2022-01-03 02:22:25+00:00,17239.296805458092,2.1369305382148513
48,Brazil,Espirito Santo,,,-19.1834,-40.3089,630104,13331,,,2022-01-02,"Espirito Santo, Brazil",2022-01-03 02:22:25+00:00,15679.494357557884,2.1156824905095033
49,Brazil,Goias,,,-15.827,-49.8362,947907,24695,,,2022-01-02,"Goias, Brazil",2022-01-03 02:22:25+00:00,13506.11553649189,2.605213380637552
50,Brazil,Maranhao,,,-4.9609,-45.2744,370697,10378,,,2022-01-02,"Maranhao, Brazil",2022-01-03 02:22:25+00:00,5239.399529142788,2.799591040661241
51,Brazil,Mato Grosso,,,-12.6819,-56.9211,557987,14059,,,2022-01-02,"Mato Grosso, Brazil",2022-01-03 02:22:25+00:00,16013.558462042678,2.5195927503687363
52,Brazil,Mato Grosso do Sul,,,-20.7722,-54.7852,380515,9729,,,2022-01-02,"Mato Grosso do Sul, Brazil",2022-01-03 02:22:25+00:00,13692.584273544375,2.556798023730996
